0,CombatZoneResize,183,251,458,391,TLResume,,
0,HeartTeleport,320,376,,,,,
0,HeartMode,1,,,,,,
0,TLPause,,,,,,,
0,SansSlam,3,,,,,,,
0,SansBody,HandUp,,,,,,,
0,Platform,15,346,61,0,140,,
0,BoneStab,3,30,0.5,0.1,,,,
0.4,BoneVRepeat,133,356,40,0,120,74,15
1,SansSlam,1,,,,,,,
0,SansBody,HandDown,,,,,,,
1,SansSlam,3,,,,,,,
0,SansBody,HandUp,,,,,,,
1.2,Platform,-61,346,61,0,240,,
0,BoneStab,3,30,0.5,0.1,,,,
1,SansSlam,1,,,,,,,
0,SansBody,HandDown,,,,,,,
1,SansSlam,3,,,,,,,
0,SansBody,HandUp,,,,,,,
1.7,Platform,-61,346,61,0,260,,
0,BoneStab,3,30,0.5,0.1,,,,
1,SansSlam,1,,,,,,,
0,SansBody,HandDown,,,,,,,
0,GasterBlaster,2,0,0,359,166,90,0.5,1
2.3,BoneV,133,257,251,0,270,1
0,SansHead,Default,,,,,,
0,SansTorso,Default,,,,,,,
0,SansAnimation,Tired,,,,,,,,
1.7,EndAttack,,,,,,,
